ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-3978",MI0016996,17.5,chrX,110082118,110082218,"+","-",""
"hsa-mir-4251",MI0015861,0.171,chr1,3127975,3128035,"+","-",""
"hsa-mir-4252",MI0015864,275,chr1,6429834,6429896,"-","-",""
"hsa-mir-4253",MI0015860,11,chr1,22863159,22863226,"-","-",""
"hsa-mir-4254",MI0015862,358,chr1,31758660,31758735,"-","-",""
"hsa-mir-4255",MI0015863,169,chr1,37161563,37161634,"+","-",""
"hsa-mir-4256",MI0015855,68.9,chr1,112461770,112461833,"-","-",""
"hsa-mir-4257",MI0015856,34.2,chr1,150551929,150552014,"+","-",""
"hsa-mir-4258",MI0015857,"1.23e+03",chr1,154975693,154975783,"+","-",""
"hsa-mir-4259",MI0015858,125,chr1,159899979,159900079,"-","-",""
"hsa-mir-4260",MI0015859,0.171,chr1,209623444,209623510,"-","-",""
"hsa-mir-4261",MI0015868,79.5,chr2,10192614,10192671,"-","-",""
"hsa-mir-4262",MI0015872,42.4,chr2,11836933,11836986,"-","-",""
"hsa-mir-4263",MI0015876,62.3,chr2,27996367,27996449,"+","-",""
"hsa-mir-4264",MI0015877,36.3,chr2,79649294,79649359,"-","-",""
"hsa-mir-4265",MI0015869,38,chr2,109141490,109141588,"-","-",""
"hsa-mir-4266",MI0015870,143,chr2,109313571,109313625,"-","-",""
"hsa-mir-4267",MI0015871,29,chr2,110069961,110070042,"-","-",""
"hsa-mir-4268",MI0015874,9.62,chr2,219906502,219906565,"-","-",""
"hsa-mir-4269",MI0015875,88.5,chr2,239305462,239305545,"+","-",""
"hsa-mir-4270",MI0015878,173,chr3,15496239,15496308,"-","-",""
"hsa-mir-4271",MI0015879,183,chr3,49274120,49274186,"+","-",""
"hsa-mir-4272",MI0015880,42.4,chr3,67225464,67225527,"+","-",""
"hsa-mir-4273",MI0015881,297,chr3,75738280,75738363,"+","-",""
"hsa-mir-4274",MI0015884,57.2,chr4,7460028,7460118,"+","-",""
"hsa-mir-4275",MI0015883,18.2,chr4,28819582,28819668,"+","-",""
"hsa-mir-4276",MI0015882,37,chr4,174423795,174423864,"+","-",""
"hsa-mir-4277",MI0015886,106,chr5,1708785,1708868,"-","-",""
"hsa-mir-4278",MI0015888,97.8,chr5,6827853,6827921,"-","-",""
"hsa-mir-4279",MI0015887,779,chr5,31936102,31936159,"-","-",""
"hsa-mir-4280",MI0015889,46.2,chr5,87114879,87114954,"-","-",""
"hsa-mir-4281",MI0015885,332,chr5,176629439,176629500,"-","-",""
"hsa-mir-4282",MI0015890,21.3,chr6,72967687,72967753,"-","-",""
"hsa-mir-4283-1",MI0015892,79.4,chr7,56955785,56955864,"-","-",""
"hsa-mir-4283-2",MI0015982,79.4,chr7,63621090,63621169,"+","-",""
"hsa-mir-4284",MI0015893,"1.49e+03",chr7,73711317,73711397,"+","-",""
"hsa-mir-4285",MI0015891,1.87,chr7,102293103,102293187,"+","-",""
"hsa-mir-4286",MI0015894,"1.36e+03",chr8,10666978,10667070,"+","-",""
"hsa-mir-4287",MI0015895,60.7,chr8,27886039,27886116,"-","-",""
"hsa-mir-4288",MI0015896,178,chr8,28505116,28505182,"-","-",""
"hsa-mir-4289",MI0015898,620,chr9,88745836,88745905,"-","-",""
"hsa-mir-4290",MI0015899,53.5,chr9,90023441,90023535,"-","-",""
"hsa-mir-4291",MI0015900,139,chr9,93819357,93819421,"+","-",""
"hsa-mir-4292",MI0015897,53.4,chr9,136830957,136831023,"+","-",""
"hsa-mir-4293",MI0015826,66.5,chr10,14383200,14383277,"-","-",""
"hsa-mir-4294",MI0015827,138,chr10,48985512,48985587,"-","-",""
"hsa-mir-4295",MI0015822,13.5,chr10,112634170,112634254,"+","-",""
"hsa-mir-4296",MI0015823,142,chr10,125032783,125032870,"-","-",""
"hsa-mir-4297",MI0015824,"-",chr10,129843299,129843374,"-","-",""
"hsa-mir-4298",MI0015830,168,chr11,1859464,1859536,"-","-",""
"hsa-mir-4299",MI0015829,136,chr11,11656651,11656722,"-","-",""
"hsa-mir-4300",MI0015831,98.8,chr11,81890741,81890836,"-","-",""
"hsa-mir-4301",MI0015828,67.8,chr11,113450023,113450088,"-","-",""
"hsa-mir-4302",MI0015833,61.5,chr12,25874020,25874079,"-","-",""
"hsa-mir-4303",MI0015834,42.4,chr12,97995383,97995448,"-","-",""
"hsa-mir-4304",MI0015832,6.16,chr12,123010667,123010728,"-","-",""
"hsa-mir-4305",MI0015835,60.9,chr13,39664034,39664135,"-","-",""
"hsa-mir-4306",MI0015836,311,chr13,99643059,99643149,"+","-",""
"hsa-mir-4307",MI0015838,234,chr14,26908642,26908725,"+","-",""
"hsa-mir-4308",MI0015839,93.4,chr14,54878113,54878193,"-","-",""
"hsa-mir-4309",MI0015837,86.7,chr14,102539644,102539726,"+","-",""
"hsa-mir-4310",MI0015840,0.322,chr15,41866495,41866551,"-","-",""
"hsa-mir-4311",MI0015841,156,chr15,66040233,66040332,"+","-",""
"hsa-mir-4312",MI0015842,62.6,chr15,68801850,68801925,"-","-",""
"hsa-mir-4313",MI0015843,82,chr15,75762215,75762315,"-","-",""
"hsa-mir-4314",MI0015846,46.7,chr17,8088056,8088147,"+","-",""
"hsa-mir-4315-1",MI0015844,"-",chr17,45475363,45475435,"-","-",""
"hsa-mir-4315-2",MI0015983,0.222,chr17,64822030,64822102,"-","-",""
"hsa-mir-4316",MI0015845,16.4,chr17,77396984,77397054,"-","-",""
"hsa-mir-4317",MI0015850,781,chr18,6374361,6374425,"-","-",""
"hsa-mir-4318",MI0015847,"-",chr18,37657135,37657215,"+","-",""
"hsa-mir-4319",MI0015848,120,chr18,44970082,44970166,"-","-",""
"hsa-mir-4320",MI0015849,14.3,chr18,50126499,50126563,"-","-",""
"hsa-mir-4321",MI0015852,833,chr19,2250639,2250718,"+","-",""
"hsa-mir-4322",MI0015851,117,chr19,10230413,10230485,"+","-",""
"hsa-mir-4323",MI0015853,81.2,chr19,42133445,42133513,"-","-",""
"hsa-mir-4324",MI0015854,"1.7e+03",chr19,49308797,49308868,"-","-",""
"hsa-mir-4325",MI0015865,41.3,chr20,57321502,57321591,"-","-",""
"hsa-mir-4326",MI0015866,46.8,chr20,63286808,63286866,"+","-",""
"hsa-mir-4327",MI0015867,62.2,chr21,30375294,30375378,"-","-",""
"hsa-mir-4328",MI0015904,799,chrX,78901194,78901249,"-","-",""
"hsa-mir-4329",MI0015901,60.7,chrX,112780718,112780788,"-","-",""
"hsa-mir-4330",MI0015902,106,chrX,151168222,151168326,"+","-",""
"hsa-mir-4417",MI0016753,532,chr1,5564071,5564143,"+","-",""
"hsa-mir-4418",MI0016754,42.4,chr1,22266239,22266300,"+","-",""
"hsa-mir-4419a",MI0016755,"2.8e+03",chr1,23057858,23057934,"-","-",""
"hsa-mir-4419b",MI0016861,209,chr12,128244506,128244573,"+","-",""
"hsa-mir-4420",MI0016757,36,chr1,30739156,30739232,"-","-",""
"hsa-mir-4421",MI0016758,104,chr1,51059837,51059905,"+","-",""
"hsa-mir-4422",MI0016759,37.6,chr1,55225641,55225723,"+","-",""
"hsa-mir-4423",MI0016760,245,chr1,85133794,85133873,"+","-",""
"hsa-mir-4424",MI0016763,8.49,chr1,178677749,178677834,"+","-",""
"hsa-mir-4425",MI0016764,327,chr1,25023503,25023586,"+","-",""
"hsa-mir-4426",MI0016765,108,chr1,192716328,192716390,"+","-",""
"hsa-mir-4427",MI0016766,74,chr1,233624152,233624219,"+","-",""
"hsa-mir-4428",MI0016767,55.8,chr1,237471119,237471191,"+","-",""
"hsa-mir-4429",MI0016768,"1.19e+03",chr2,11540605,11540677,"-","-",""
"hsa-mir-4430",MI0016769,217,chr2,33418516,33418564,"+","-",""
"hsa-mir-4431",MI0016771,155,chr2,52702522,52702615,"-","-",""
"hsa-mir-4432",MI0016772,78.8,chr2,60387362,60387445,"-","-",""
"hsa-mir-4433a",MI0016773,22,chr2,64340759,64340839,"+","-",""
"hsa-mir-4433b",MI0025511,8.23,chr2,64340747,64340848,"-","-",""
"hsa-mir-4434",MI0016774,"1.9e+03",chr2,64525513,64525565,"+","-",""
"hsa-mir-4435-1",MI0016775,69.5,chr2,87629755,87629834,"+","-",""
"hsa-mir-4435-2",MI0016777,69.5,chr2,111321013,111321086,"-","-",""
"hsa-mir-4436a",MI0016776,26,chr2,88812370,88812454,"+","-",""
"hsa-mir-4436b-1",MI0017425,81.3,chr2,110086433,110086523,"-","-",""
"hsa-mir-4436b-2",MI0019110,75.6,chr2,110284853,110284943,"+","-",""
"hsa-mir-4437",MI0016778,38.4,chr2,181305593,181305652,"-","-",""
"hsa-mir-4438",MI0016781,13.9,chr2,213758067,213758159,"+","-",""
"hsa-mir-4439",MI0016782,15.5,chr2,225010461,225010540,"-","-",""
"hsa-mir-4440",MI0016783,35.8,chr2,239068817,239068914,"-","-",""
"hsa-mir-4441",MI0016784,12.6,chr2,239085827,239085926,"-","-",""
"hsa-mir-4442",MI0016785,179,chr3,25664873,25664939,"-","-",""
"hsa-mir-4443",MI0016786,"8.43e+03",chr3,48196564,48196616,"+","-",""
"hsa-mir-4444-1",MI0016787,116,chr2,177212726,177212799,"+","-",""
"hsa-mir-4444-2",MI0019111,119,chr3,75214476,75214549,"+","-",""
"hsa-mir-4445",MI0016788,4.01,chr3,109602828,109602897,"+","-",""
"hsa-mir-4446",MI0016789,72.5,chr3,113594876,113594942,"+","-",""
"hsa-mir-4447",MI0016790,80.3,chr3,116850277,116850367,"-","-",""
"hsa-mir-4448",MI0016791,353,chr3,183886800,183886885,"+","-",""
"hsa-mir-4449",MI0016792,"7.11e+03",chr4,52712682,52712747,"+","-",""
"hsa-mir-4450",MI0016795,24.3,chr4,76573568,76573632,"+","-",""
"hsa-mir-4451",MI0016797,286,chr4,85722468,85722533,"+","-",""
"hsa-mir-4452",MI0016798,134,chr4,86542482,86542552,"-","-",""
"hsa-mir-4453",MI0016799,140,chr4,152536428,152536516,"+","-",""
"hsa-mir-4454",MI0016800,"1.57e+03",chr4,163093574,163093628,"-","-",""
"hsa-mir-4455",MI0016801,132,chr4,184938383,184938440,"-","-",""
"hsa-mir-4456",MI0016802,22.8,chr5,535840,535882,"-","-",""
"hsa-mir-4457",MI0016803,6.59,chr5,1309310,1309377,"-","-",""
"hsa-mir-4458",MI0016804,139,chr5,8460925,8460999,"+","-",""
"hsa-mir-4459",MI0016805,"1.48e+03",chr5,54075518,54075583,"-","-",""
"hsa-mir-4460",MI0016806,13.3,chr5,129397062,129397147,"-","-",""
"hsa-mir-4461",MI0016807,82.1,chr5,134928039,134928112,"+","-",""
"hsa-mir-4462",MI0016810,124,chr6,37555365,37555422,"-","-",""
"hsa-mir-4463",MI0016811,15.1,chr6,75428407,75428473,"+","-",""
"hsa-mir-4464",MI0016812,114,chr6,90312742,90312833,"+","-",""
"hsa-mir-4465",MI0016816,"-",chr6,140683814,140683883,"+","-",""
"hsa-mir-4466",MI0016817,502,chr6,156779678,156779731,"-","-",""
"hsa-mir-4467",MI0016818,235,chr7,102471469,102471531,"+","-",""
"hsa-mir-4468",MI0016819,428,chr7,138123758,138123821,"+","-",""
"hsa-mir-4469",MI0016820,77.4,chr8,42896197,42896275,"-","-",""
"hsa-mir-4470",MI0016821,70.6,chr8,61714788,61714859,"+","-",""
"hsa-mir-4471",MI0016822,2,chr8,100382763,100382845,"+","-",""
"hsa-mir-4472-1",MI0016823,107,chr8,142176339,142176418,"+","-",""
"hsa-mir-4472-2",MI0016824,506,chr12,116428252,116428318,"-","-",""
"hsa-mir-4473",MI0016825,27.1,chr9,20411148,20411238,"-","-",""
"hsa-mir-4474",MI0016826,1.63,chr9,20502265,20502342,"-","-",""
"hsa-mir-4475",MI0016827,18,chr9,36823539,36823599,"-","-",""
"hsa-mir-4476",MI0016828,130,chr9,36893462,36893531,"-","-",""
"hsa-mir-4477a",MI0016829,294,chr9,41233755,41233835,"+","-",""
"hsa-mir-4477b",MI0016830,38.9,chr9,63819574,63819654,"+","-",""
"hsa-mir-4478",MI0016831,119,chr9,122120082,122120167,"-","-",""
"hsa-mir-4479",MI0016838,129,chr9,136886733,136886803,"+","-",""
"hsa-mir-4480",MI0016841,95.2,chr10,12578753,12578823,"+","-",""
"hsa-mir-4481",MI0016842,47.1,chr10,12653138,12653197,"-","-",""
"hsa-mir-4482",MI0016843,19.3,chr10,104268336,104268405,"-","-",""
"hsa-mir-4483",MI0016844,28.2,chr10,113777993,113778054,"-","-",""
"hsa-mir-4484",MI0016845,972,chr10,125819740,125819822,"+","-",""
"hsa-mir-4485",MI0016846,"1.17e+03",chr11,10508270,10508326,"-","-",""
"hsa-mir-4486",MI0016847,24.1,chr11,19575310,19575372,"+","-",""
"hsa-mir-4487",MI0016848,90,chr11,47400970,47401042,"+","-",""
"hsa-mir-4488",MI0016849,"1.59e+03",chr11,61508596,61508657,"+","-",""
"hsa-mir-4489",MI0016850,18.2,chr11,65649192,65649253,"+","-",""
"hsa-mir-4490",MI0016852,3.31,chr11,90555774,90555857,"-","-",""
"hsa-mir-4491",MI0016853,28.2,chr11,111347757,111347824,"+","-",""
"hsa-mir-4492",MI0016854,715,chr11,118910708,118910787,"+","-",""
"hsa-mir-4493",MI0016855,47.2,chr11,123381440,123381512,"-","-",""
"hsa-mir-4494",MI0016856,11,chr12,47364186,47364269,"-","-",""
"hsa-mir-4495",MI0016857,90.8,chr12,97939056,97939121,"-","-",""
"hsa-mir-4496",MI0016858,42.5,chr12,108635810,108635870,"+","-",""
"hsa-mir-4497",MI0016859,"3.26e+03",chr12,109833348,109833436,"+","-",""
"hsa-mir-4498",MI0016860,15,chr12,120155434,120155499,"-","-",""
"hsa-mir-4499",MI0016862,54.8,chr13,20433778,20433846,"-","-",""
"hsa-mir-4500",MI0016863,183,chr13,87618665,87618740,"-","-",""
"hsa-mir-4501",MI0016864,305,chr13,96427229,96427292,"+","-",""
"hsa-mir-4502",MI0016865,92,chr13,114273828,114273908,"+","-",""
"hsa-mir-4503",MI0016866,"-",chr14,36952309,36952391,"-","-",""
"hsa-mir-4504",MI0016867,95,chr14,50299855,50299946,"-","-",""
"hsa-mir-4505",MI0016868,25.1,chr14,73758747,73758819,"+","-",""
"hsa-mir-4506",MI0016869,14.2,chr14,93948226,93948302,"-","-",""
"hsa-mir-4507",MI0016871,46.3,chr14,105858124,105858175,"-","-",""
"hsa-mir-4508",MI0016872,"1.43e+03",chr15,23562062,23562131,"-","-",""
"hsa-mir-4509-1",MI0016873,"-",chr15,23197827,23197920,"+","-",""
"hsa-mir-4509-2",MI0016874,0.171,chr15,28426491,28426584,"+","-",""
"hsa-mir-4509-3",MI0016875,0.748,chr15,28490752,28490845,"-","-",""
"hsa-mir-4510",MI0016876,"2.19e+03",chr15,35926856,35926923,"+","-",""
"hsa-mir-4511",MI0016877,96.3,chr15,65719246,65719332,"-","-",""
"hsa-mir-4512",MI0016878,531,chr15,66496958,66497034,"-","-",""
"hsa-mir-4513",MI0016879,41.8,chr15,74788672,74788757,"-","-",""
"hsa-mir-4514",MI0016880,0.0977,chr15,80997417,80997473,"-","-",""
"hsa-mir-4515",MI0016881,41.2,chr15,83067335,83067415,"+","-",""
"hsa-mir-4516",MI0016882,"3.24e+03",chr16,2133119,2133204,"+","-",""
"hsa-mir-4517",MI0016883,28.1,chr16,28958583,28958661,"+","-",""
"hsa-mir-4518",MI0016884,211,chr16,30503919,30504001,"+","-",""
"hsa-mir-4519",MI0016885,23.9,chr16,30875266,30875323,"-","-",""
"hsa-mir-4520-1",MI0016886,20.7,chr17,6655440,6655509,"-","-",""
"hsa-mir-4520-2",MI0017358,43,chr17,6655449,6655502,"+","-",""
"hsa-mir-4521",MI0016887,441,chr17,8186945,8187004,"+","-",""
"hsa-mir-4522",MI0016889,21.9,chr17,27293910,27293996,"-","-",""
"hsa-mir-4523",MI0016890,87.2,chr17,29390662,29390730,"+","-",""
"hsa-mir-4524a",MI0016891,45.1,chr17,69099564,69099632,"-","",""
"hsa-mir-4524b",MI0019114,44.3,chr17,69099542,69099656,"+","-",""
"hsa-mir-4525",MI0016892,60.7,chr17,82668233,82668307,"-","-",""
"hsa-mir-4526",MI0016893,74,chr18,13611114,13611200,"+","-",""
"hsa-mir-4527",MI0016894,47.7,chr18,47380496,47380565,"+","-",""
"hsa-mir-4528",MI0016895,0.856,chr18,53237101,53237190,"+","-",""
"hsa-mir-4529",MI0016896,21.7,chr18,55479221,55479298,"+","-",""
"hsa-mir-4530",MI0016897,116,chr19,39409623,39409678,"-","-",""
"hsa-mir-4531",MI0016898,758,chr19,44653686,44653732,"-","-",""
"hsa-mir-4532",MI0016899,"6.16e+03",chr20,57895394,57895444,"+","-",""
"hsa-mir-4533",MI0016900,239,chr20,60478111,60478181,"+","-",""
"hsa-mir-4534",MI0016901,14.7,chr22,37988794,37988853,"+","-",""
"hsa-mir-4535",MI0016903,"-",chr22,48780295,48780353,"+","-",""
"hsa-mir-4536-1",MI0016906,"1.06e+03",chrX,55451495,55451582,"-","",""
"hsa-mir-4536-2",MI0019149,"1.11e+03",chrX,55451495,55451582,"+","-",""
"hsa-mir-4537",MI0016908,129,chr14,105859484,105859553,"-","-",""
"hsa-mir-4538",MI0016909,9.38,chr14,105858165,105858242,"-","-",""
"hsa-mir-4539",MI0016910,8.93,chr14,105857513,105857572,"-","-",""
"hsa-mir-4540",MI0016911,"-",chr9,36864254,36864308,"-","-",""
"hsa-mir-4632",MI0017259,411,chr1,12191713,12191773,"+","-",""
"hsa-mir-4633",MI0017260,64.8,chr5,129097688,129097766,"+","-",""
"hsa-mir-4634",MI0017261,343,chr5,174751734,174751787,"+","-",""
"hsa-mir-4635",MI0017262,59.8,chr5,1062896,1062974,"-","-",""
"hsa-mir-4636",MI0017263,38.8,chr5,9053816,9053895,"-","-",""
"hsa-mir-4637",MI0017264,3.6,chr5,14825929,14826012,"-","-",""
"hsa-mir-4638",MI0017265,18.8,chr5,181222566,181222633,"-","-",""
"hsa-mir-4639",MI0017266,12.4,chr6,16141556,16141624,"+","-",""
"hsa-mir-4640",MI0017267,59.8,chr6,30890883,30890972,"+","-",""
"hsa-mir-4641",MI0017268,57.2,chr6,41598723,41598788,"+","-",""
"hsa-mir-4642",MI0017269,15.8,chr6,44435641,44435722,"+","-",""
"hsa-mir-4643",MI0017270,0.222,chr6,91521660,91521737,"+","-",""
"hsa-mir-4644",MI0017271,85.4,chr6,170330761,170330844,"+","-",""
"hsa-mir-4645",MI0017272,58.7,chr6,2854031,2854107,"-","-",""
"hsa-mir-4646",MI0017273,54.1,chr6,31701029,31701091,"-","-",""
"hsa-mir-4647",MI0017274,60.1,chr6,44254206,44254285,"-","-",""
"hsa-mir-4648",MI0017275,6.75,chr7,2527074,2527145,"+","-",""
"hsa-mir-4649",MI0017276,23.8,chr7,44110849,44110912,"+","-",""
"hsa-mir-4650-1",MI0017277,245,chr7,67114322,67114397,"-","-",""
"hsa-mir-4650-2",MI0017278,221,chr7,72697903,72697978,"+","-",""
"hsa-mir-4651",MI0017279,46.3,chr7,75915197,75915269,"+","-",""
"hsa-mir-4652",MI0017280,4.92,chr7,93716928,93717005,"+","-",""
"hsa-mir-4653",MI0017281,23.3,chr7,101159473,101159555,"+","-",""
"hsa-mir-4654",MI0017282,44.1,chr1,162157107,162157182,"+","-",""
"hsa-mir-4655",MI0017283,291,chr7,1844180,1844253,"-","-",""
"hsa-mir-4656",MI0017284,112,chr7,4788565,4788639,"-","-",""
"hsa-mir-4657",MI0017285,21.8,chr7,44881748,44881800,"-","-",""
"hsa-mir-4658",MI0017286,31.5,chr7,100156605,100156669,"-","-",""
"hsa-mir-4659a",MI0017287,38.3,chr8,6745164,6745244,"+","-",""
"hsa-mir-4659b",MI0017291,21.7,chr8,6745168,6745240,"-","-",""
"hsa-mir-4660",MI0017288,103,chr8,9048445,9048518,"+","-",""
"hsa-mir-4661",MI0017289,111,chr8,91205485,91205559,"+","-",""
"hsa-mir-4662a",MI0017290,57.8,chr8,124821985,124822051,"+","-",""
"hsa-mir-4662b",MI0017293,78.7,chr8,124821978,124822058,"-","-",""
"hsa-mir-4663",MI0017292,116,chr8,123215788,123215863,"-","-",""
"hsa-mir-4664",MI0017294,105,chr8,143733083,143733153,"-","-",""
"hsa-mir-4665",MI0017295,30.1,chr9,6007826,6007904,"+","-",""
"hsa-mir-4666a",MI0017296,43.7,chr1,228462074,228462152,"+","-",""
"hsa-mir-4666b",MI0019299,67,chrX,29574278,29574358,"+","-",""
"hsa-mir-4667",MI0017297,87.4,chr9,35608094,35608159,"+","-",""
"hsa-mir-4668",MI0017298,114,chr9,111932100,111932169,"+","-",""
"hsa-mir-4669",MI0017300,437,chr9,134379411,134379472,"+","-",""
"hsa-mir-4670",MI0017301,17.2,chr9,92527984,92528058,"-","-",""
"hsa-mir-4671",MI0017302,"-",chr1,234306467,234306539,"+","-",""
"hsa-mir-4672",MI0017303,6.6,chr9,127869415,127869495,"-","-",""
"hsa-mir-4673",MI0017304,65.7,chr9,136519568,136519626,"-","-",""
"hsa-mir-4674",MI0017305,40.3,chr9,136546173,136546259,"-","-",""
"hsa-mir-4675",MI0017306,93.3,chr10,20551970,20552046,"+","-",""
"hsa-mir-4676",MI0017307,14.2,chr10,72721029,72721100,"+","-",""
"hsa-mir-4677",MI0017308,25.8,chr1,243346176,243346255,"+","-",""
"hsa-mir-4678",MI0017309,19.9,chr10,87503881,87503954,"+","-",""
"hsa-mir-4679-1",MI0017310,33.7,chr10,89063336,89063410,"+","-",""
"hsa-mir-4679-2",MI0017311,11.7,chr10,89063335,89063411,"-","-",""
"hsa-mir-4680",MI0017312,10.9,chr10,110898090,110898155,"+","-",""
"hsa-mir-4681",MI0017313,6.02,chr10,119377972,119378043,"+","-",""
"hsa-mir-4682",MI0017314,63.1,chr10,119958513,119958592,"+","-",""
"hsa-mir-4683",MI0017315,155,chr10,35641172,35641252,"-","-",""
"hsa-mir-4684",MI0017316,16.8,chr1,22719517,22719598,"+","-",""
"hsa-mir-4685",MI0017317,71.6,chr10,98431292,98431360,"-","-",""
"hsa-mir-4686",MI0017318,37.2,chr11,2173063,2173138,"+","-",""
"hsa-mir-4687",MI0017319,147,chr11,3856062,3856141,"+","-",""
"hsa-mir-4688",MI0017321,25.9,chr11,46376402,46376484,"+","-",""
"hsa-mir-4689",MI0017322,202,chr1,5862672,5862741,"-","-",""
"hsa-mir-4690",MI0017323,21.8,chr11,65636310,65636369,"+","-",""
"hsa-mir-4691",MI0017324,20.2,chr11,68033897,68033981,"+","-",""
"hsa-mir-4692",MI0017325,2.23,chr11,72783530,72783592,"+","-",""
"hsa-mir-4693",MI0017326,127,chr11,103849906,103849980,"+","-",""
"hsa-mir-4694",MI0017327,9.15,chr11,19760004,19760083,"-","-",""
"hsa-mir-4695",MI0017328,119,chr1,18883202,18883275,"-","-",""
"hsa-mir-4696",MI0017329,129,chr11,74720268,74720337,"-","-",""
"hsa-mir-4697",MI0017330,3.01,chr11,133898504,133898581,"-","-",""
"hsa-mir-4698",MI0017331,125,chr12,47187812,47187891,"+","-",""
"hsa-mir-4699",MI0017332,18.8,chr12,81158388,81158461,"+","-",""
"hsa-mir-4700",MI0017333,24.3,chr12,120723193,120723266,"+","-",""
"hsa-mir-4701",MI0017334,8.02,chr12,48771975,48772037,"-","-",""
"hsa-mir-4703",MI0017336,287,chr13,51552589,51552667,"+","-",""
"hsa-mir-4704",MI0017337,79.8,chr13,66218250,66218324,"+","-",""
"hsa-mir-4705",MI0017338,506,chr13,102045934,102046004,"-","-",""
"hsa-mir-4706",MI0017339,225,chr14,65044688,65044769,"+","-",""
"hsa-mir-4707",MI0017340,840,chr14,22956950,22957029,"-","",""
"hsa-mir-4708",MI0017341,112,chr14,65335117,65335183,"-","-",""
"hsa-mir-4709",MI0017342,159,chr14,74480133,74480204,"-","-",""
"hsa-mir-4710",MI0017344,130,chr14,104677694,104677749,"-","-",""
"hsa-mir-4711",MI0017345,9.4,chr1,59733227,59733296,"-","-",""
"hsa-mir-4712",MI0017346,26.5,chr15,50360329,50360410,"+","-",""
"hsa-mir-4713",MI0017347,38.7,chr15,51242190,51242264,"+","-",""
"hsa-mir-4714",MI0017348,36.1,chr15,98784426,98784502,"+","-",""
"hsa-mir-4715",MI0017349,69.1,chr15,25848747,25848825,"-","-",""
"hsa-mir-4716",MI0017350,170,chr15,49169070,49169153,"-","-",""
"hsa-mir-4717",MI0017352,3.77,chr16,2274620,2274691,"+","-",""
"hsa-mir-4718",MI0017353,"-",chr16,12720321,12720371,"+","-",""
"hsa-mir-4719",MI0017354,20.8,chr16,76868936,76869019,"+","-",""
"hsa-mir-4720",MI0017355,"-",chr16,81385018,81385093,"+","-",""
"hsa-mir-4721",MI0017356,27,chr16,28843919,28844007,"-","-",""
"hsa-mir-4722",MI0017357,92.1,chr16,88716278,88716337,"-","-",""
"hsa-mir-4723",MI0017359,34.1,chr17,28360654,28360734,"+","-",""
"hsa-mir-4724",MI0017361,242,chr17,31534883,31534971,"+","-",""
"hsa-mir-4725",MI0017362,148,chr17,31575269,31575358,"+","-",""
"hsa-mir-4726",MI0017363,99.7,chr17,38719691,38719748,"+","-",""
"hsa-mir-4727",MI0017364,20.4,chr17,38825838,38825892,"+","-",""
"hsa-mir-4728",MI0017365,69.7,chr17,39726495,39726561,"+","-",""
"hsa-mir-4729",MI0017366,40,chr17,59366083,59366154,"+","-",""
"hsa-mir-4730",MI0017367,"4e+03",chr17,80419418,80419493,"+","-",""
"hsa-mir-4731",MI0017368,46.1,chr17,15251627,15251696,"-","-",""
"hsa-mir-4732",MI0017369,61.5,chr17,28861655,28861730,"-","-",""
"hsa-mir-4733",MI0017370,23.7,chr17,31094350,31094425,"-","-",""
"hsa-mir-4734",MI0017371,83.9,chr17,38702262,38702331,"-","-",""
"hsa-mir-4735",MI0017372,28.5,chr1,196582413,196582481,"-","-",""
"hsa-mir-4736",MI0017373,4.22,chr17,58335976,58336022,"-","-",""
"hsa-mir-4737",MI0017374,74,chr17,60043025,60043105,"-","-",""
"hsa-mir-4738",MI0017376,137,chr17,75784521,75784607,"-","-",""
"hsa-mir-4739",MI0017377,370,chr17,79707176,79707249,"-","-",""
"hsa-mir-4740",MI0017378,0.222,chr17,81400716,81400778,"-","-",""
"hsa-mir-4741",MI0017379,150,chr18,22933349,22933438,"+","-",""
"hsa-mir-4742",MI0017380,27,chr1,224398227,224398311,"-","-",""
"hsa-mir-4743",MI0017381,20.3,chr18,48670600,48670668,"+","-",""
"hsa-mir-4744",MI0017382,38.7,chr18,49049687,49049768,"-","-",""
"hsa-mir-4745",MI0017384,31.3,chr19,804940,805001,"+","-",""
"hsa-mir-4746",MI0017385,18.9,chr19,4445978,4446048,"+","-",""
"hsa-mir-4747",MI0017386,17.3,chr19,4932687,4932740,"+","-",""
"hsa-mir-4748",MI0017387,46.8,chr19,10780254,10780335,"+","-",""
"hsa-mir-4749",MI0017388,471,chr19,49854591,49854651,"+","-",""
"hsa-mir-4750",MI0017389,101,chr19,49888175,49888230,"+","-",""
"hsa-mir-4751",MI0017390,57,chr19,49933064,49933137,"+","-",""
"hsa-mir-4752",MI0017391,9.85,chr19,54282109,54282180,"+","-",""
"hsa-mir-4753",MI0017392,37.2,chr1,235190034,235190116,"-","-",""
"hsa-mir-4754",MI0017394,62.1,chr19,58386770,58386858,"-","-",""
"hsa-mir-4755",MI0017395,129,chr20,34049119,34049190,"+","",""
"hsa-mir-4756",MI0017397,550,chr20,54068408,54068485,"-","-",""
"hsa-mir-4757",MI0017398,12.1,chr2,19348429,19348505,"+","-",""
"hsa-mir-4758",MI0017399,34.5,chr20,62332487,62332557,"-","-",""
"hsa-mir-4759",MI0017400,69.1,chr21,26953961,26954043,"+","-",""
